#{"t_start": 1694584898.2871697, "env_id": "UR5OriReach-v1"}
r,l,t
-860.885613,5,628.083079
-819.54432,5,628.099685
-741.535745,5,641.626476
-913.1868,5,641.642348
-820.821696,5,641.658601
-751.017364,5,641.676215
-758.140628,5,641.696932
-925.699136,5,641.728008
-757.310781,5,641.74608
-847.983161,5,641.761931
-810.67526,5,641.776676
-727.694401,5,641.796552
-764.909899,5,655.35541
-846.910947,5,655.371165
-819.519825,5,655.388086
-726.944344,5,655.405304
-692.010788,5,655.426138
-738.591761,5,655.456655
-782.945907,5,655.473459
-894.33233,5,655.489423
-719.057536,5,655.506734
-780.30985,5,655.523796
-843.89686,5,669.033181
-851.975865,5,669.049784
-808.917689,5,669.065832
-888.369501,5,669.082086
-830.67705,5,669.099486
-834.015805,5,669.115284
-844.244245,5,669.131305
-748.270061,5,669.150743
-811.71843,5,669.166006
-771.673904,5,669.183281
-822.871493,5,682.926756
-813.148496,5,682.947936
-752.422224,5,682.963089
-768.277674,5,682.979357
-800.500385,5,682.99533
-802.850495,5,683.012208
-757.356611,5,683.02998
-926.199788,5,683.046212
-771.007134,5,683.062074
-775.108502,5,683.077145
-762.974576,5,696.606557
-802.790794,5,696.622327
-835.027967,5,696.640941
-813.980968,5,696.656678
-856.194357,5,696.673067
-874.405604,5,696.689169
-749.346971,5,696.706616
-753.886258,5,696.722657
-749.925751,5,696.738697
-808.403217,5,696.757592
-743.881377,5,710.351485
-772.049881,5,710.368068
-778.107945,5,710.383718
-931.853635,5,710.399998
-743.805546,5,710.417028
-784.003861,5,710.433931
-754.275575,5,710.450313
-782.926352,5,710.469285
-808.098174,5,710.48594
-700.406338,5,710.503719
-774.677402,5,724.094606
-743.537832,5,724.113952
-874.11813,5,724.129933
-826.239562,5,724.145867
-724.768334,5,724.163018
-831.067147,5,724.179273
-900.974777,5,724.196332
-801.065172,5,724.214514
-723.523928,5,724.229853
-876.76743,5,724.245052
-778.753258,5,737.823617
-850.850782,5,737.841012
-906.653641,5,737.858798
-819.040681,5,737.877295
-709.890792,5,737.89442
-744.395676,5,737.925536
-812.66784,5,737.942781
-985.036237,5,737.957649
-852.371666,5,737.973528
-748.458372,5,737.991048
-748.796069,5,751.619747
-863.128373,5,751.639685
-808.501229,6,751.672676
-923.324641,5,751.701167
-739.821963,5,751.719563
-778.192255,5,751.73474
-777.800581,5,751.75191
-732.864077,5,751.768883
-805.896969,5,751.784692
-962.562926,5,751.800997
-754.382967,5,765.297717
-805.552929,5,765.315548
-808.700724,5,765.331614
-765.877702,5,765.347236
-715.044579,5,765.365911
-714.559615,5,765.383581
-782.566996,5,765.400401
-806.177359,5,765.436518
-814.930684,5,765.462752
-946.04206,5,765.479444
-834.684221,5,779.145661
-912.319688,5,779.159694
-906.013871,5,779.174598
-725.431641,5,779.19267
-892.892232,5,779.209744
-863.974298,5,779.22543
-782.523374,5,779.241039
-755.334635,5,779.258578
-845.742434,5,779.275347
-813.382613,5,779.290835
-789.085178,5,792.902452
-798.547812,5,792.92312
-767.476591,5,792.939127
-747.209041,5,792.955337
-758.854917,5,792.970889
-724.180341,5,792.988289
-784.207964,5,793.004812
-740.713417,5,793.02146
-1016.085402,5,793.035482
-794.558803,5,793.053482
-756.815292,5,807.038799
-830.615142,5,807.067186
-718.977367,5,807.086491
-812.536154,5,807.115849
-870.861815,5,807.133198
-779.929735,5,807.151932
-828.314437,5,807.169609
-877.507101,5,807.213095
-864.600553,5,807.250651
-929.80206,5,807.267008
-758.925607,5,822.281924
-787.589778,5,822.310486
-739.121639,5,822.328971
-831.941302,5,822.344418
-822.700551,5,822.361107
-847.3864,5,822.378108
-927.005978,5,822.394491
-877.210614,5,822.413642
-806.298379,5,822.431047
-844.522475,5,822.453125
-803.198564,5,836.089711
-840.401847,5,836.106528
-857.117049,5,836.127565
-877.93096,5,836.156017
-852.017074,5,836.173238
-752.792891,5,836.189938
-848.08823,5,836.205735
-930.182672,5,836.222385
-824.730853,5,836.239759
-813.448291,5,836.254876
-735.524596,5,849.850668
-955.022955,5,849.866647
-724.269823,5,849.883769
-967.954712,5,849.899637
-881.968917,5,849.916244
-768.445055,5,849.939113
-779.428152,5,849.967911
-852.973468,6,849.988901
-860.025556,5,850.022854
-792.115312,5,850.05054
-821.413165,5,863.728976
-772.414085,5,863.747575
-719.876837,5,863.763992
-869.653908,5,863.779978
-742.578931,5,863.796607
-871.029179,5,863.812336
-695.836751,5,863.830001
-849.503636,5,863.845538
-805.786523,5,863.86324
-828.107961,5,863.878001
-842.660125,5,877.642355
-775.482994,5,877.659506
-844.192245,5,877.676558
-858.254168,5,877.690997
-934.033722,5,877.707333
-844.782766,5,877.723231
-774.159412,5,877.7416
-746.34327,5,877.757689
-780.755785,5,877.773968
-855.274242,5,877.790319
-730.814802,5,891.536749
-787.610226,5,891.553743
-878.597593,5,891.567933
-798.573253,5,891.58604
-783.227433,5,891.603387
-801.244542,5,891.621101
-809.523741,5,891.640577
-964.548941,5,891.668432
-813.657813,5,891.68491
-841.449366,5,891.70171
-806.121899,5,905.313762
-753.224405,5,905.330513
-785.666299,5,905.346473
-822.049798,5,905.363607
-905.672178,5,905.380505
-812.930316,5,905.3998
-750.966296,5,905.417836
-769.468539,5,905.450511
-715.231168,5,905.468366
-807.531828,5,905.497529
-859.044576,5,919.073991
-745.181043,5,919.091771
-826.893133,5,919.107633
-782.3615,5,919.124201
-795.585861,5,919.141301
-789.835651,5,919.157425
-809.408824,5,919.174638
-817.126842,5,919.191898
-868.870879,5,919.208841
-796.639306,5,919.22919
-875.104336,5,932.853813
-846.308883,5,932.871091
-728.660698,5,932.888565
-756.483376,5,932.907984
-796.965299,5,932.949863
-715.699091,5,932.977508
-763.550813,5,933.005002
-739.331931,5,933.021754
-813.242263,5,933.036883
-770.008806,5,933.054253
-859.58018,5,946.599408
-782.876921,5,946.61656
-799.517715,5,946.632471
-943.051489,5,946.64833
-818.753039,5,946.664565
-721.962332,5,946.68128
-791.63067,5,946.697938
-791.317722,5,946.714521
-712.317742,5,946.733617
-814.03215,5,946.751694
-825.69458,5,960.560212
-732.853062,5,960.579713
-790.72491,5,960.597268
-867.539988,5,960.626736
-847.504924,5,960.642739
-749.53242,5,960.660573
-757.752169,5,960.678027
-817.861311,5,960.691737
-792.909446,5,960.70953
-823.949776,5,960.726935
-805.276592,5,974.337217
-828.656549,5,974.35369
-816.924412,5,974.370811
-785.058519,5,974.390738
-902.584019,5,974.40552
-781.633083,5,974.420978
-757.20618,5,974.437637
-831.780845,5,974.458192
-708.142643,5,974.472607
-806.666816,5,974.487541
-707.461738,5,987.967618
-821.19725,5,987.983286
-786.864605,5,987.999083
-831.922138,5,988.016338
-834.655657,5,988.031757
-843.613094,5,988.049655
-776.253531,5,988.066232
-731.807693,5,988.082957
-847.153967,5,988.099257
-839.939498,5,988.115674
-723.112554,5,1001.795511
-697.564332,5,1001.811256
-867.747692,5,1001.8287
-800.473668,5,1001.849372
-754.811902,5,1001.864073
-725.55769,5,1001.880883
-806.464586,5,1001.8968
-792.710988,5,1001.914837
-883.050238,5,1001.932176
-758.924901,5,1001.962816
-748.324062,5,1015.522667
-797.329677,5,1015.539703
