#{"t_start": 1695258136.61003, "env_id": "UR5ObsReach-v1"}
r,l,t
-661.47534,8,645.747021
-847.01683,15,645.778001
-2627.73983,100,645.966464
-1095.308879,22,646.02329
-911.900996,15,646.071425
-845.431762,3,646.089213
-732.462,3,646.106545
-1010.523331,12,646.137043
-122.98932,7,646.162137
-857.195892,8,646.180382
-828.679274,11,656.996763
-771.311024,3,657.016005
-1328.148552,18,657.061093
-807.983928,3,657.085891
-1431.157384,100,657.328227
-848.515668,9,657.358455
-1120.606747,25,657.408513
-928.165601,9,657.426195
-896.501074,7,657.456241
-852.060982,4,657.469223
-861.937209,3,668.474989
-1037.509818,8,668.501426
-907.791136,9,668.537529
-3150.963286,100,668.741125
-2764.024615,70,668.871606
-895.395287,10,668.904623
-782.899625,3,668.926262
-892.977393,10,668.956001
-870.015025,3,668.975617
-1205.908872,100,669.180396
-227.999342,9,679.895193
-752.728767,4,679.919693
-828.377466,3,679.936103
-1005.219057,11,679.965087
-868.98899,8,679.993233
-952.578357,12,680.017516
-3072.53794,100,680.224035
-913.892043,8,680.244393
-1743.012668,43,680.320565
-734.24163,3,680.334903
-168.98823,8,691.086856
-1062.275554,16,691.117044
-3030.105069,100,691.320876
-1002.038334,8,691.355713
-2160.575845,100,691.549544
-804.8185,3,691.562042
-939.530347,10,691.592238
-987.586287,9,691.621308
-1728.896068,100,691.823549
-951.384066,10,691.85689
-1117.453519,18,702.529799
-2709.465016,100,702.730126
-945.675151,8,702.76387
-782.587534,3,702.787942
-2079.417331,100,702.965947
-1400.174763,27,703.033069
-1171.112739,20,703.0847
-2831.964921,100,703.331893
-1483.751855,100,703.538692
-912.714523,3,703.555832
-2442.21718,100,714.166505
-890.045972,8,714.188733
-1304.548805,100,714.456688
-1032.374516,7,714.488775
-2038.559333,100,714.69506
-1770.898686,32,714.762181
-3565.373971,100,714.950329
-769.231882,3,714.965417
-967.322135,10,714.994726
-1889.164977,100,715.211298
-1315.060309,100,725.686721
-2142.311096,100,725.917157
-1037.431701,100,726.13249
-1025.774438,100,726.303835
-813.960016,3,726.323563
-1859.938205,100,726.513183
-771.155552,2,726.52259
-874.797342,7,726.548998
-927.723927,100,726.781309
-2126.868399,100,726.967515
-1080.500759,100,737.689135
-1094.889654,15,737.723109
-1107.787743,13,737.750963
-1111.654945,23,737.802151
-1979.385776,100,738.043172
-2150.661014,100,738.232288
-153.133637,10,738.2631
-2174.633939,100,738.485824
-1316.074981,100,738.667564
-1574.555455,100,738.888092
-904.355002,100,749.614743
-868.260197,4,749.628006
-924.145528,8,749.653423
-815.321666,3,749.678714
-942.9296,8,749.702177
-2295.867128,100,749.935109
-1158.048653,13,749.960593
-1931.958846,100,750.218476
-364.337972,19,750.256544
-1901.817127,100,750.444164
-2354.463367,80,760.851762
-1207.819805,21,760.904777
-935.686868,13,760.936849
-1337.774275,100,761.117936
-919.625618,14,761.15939
-1783.572873,100,761.336251
-1186.964693,100,761.620748
-998.288579,5,761.641108
-786.709869,2,761.652271
-1008.920351,13,761.691602
-1990.727716,100,772.261232
-1251.114704,19,772.308052
-1932.22677,100,772.553345
-905.323189,4,772.564456
-891.000774,6,772.583691
-1977.462713,100,772.764231
-1581.628519,100,772.951399
-902.05907,3,772.966071
-874.064196,4,772.9809
-2242.922694,100,773.162932
-1096.691328,15,783.50869
-987.241785,12,783.537389
-1467.212181,40,783.645391
-1082.089334,39,783.721039
-2490.245537,100,783.91748
-1526.392748,100,784.121008
-1089.955958,14,784.159163
-1066.043423,12,784.187793
-847.424256,3,784.205851
-1243.055236,18,784.248796
-1204.834616,19,794.690944
-1976.216522,100,794.89505
-1105.663041,14,794.932274
-940.533582,18,794.975308
-2210.092769,100,795.184815
-878.543242,7,795.204622
-2288.252206,100,795.384758
-2188.603627,100,795.570098
-1917.561342,100,795.761952
-1725.217413,100,795.947033
-1299.101529,28,806.888656
-3481.70512,100,807.069987
-784.33379,3,807.092636
-2480.919985,100,807.271877
-3064.450236,100,807.458326
-1962.519337,100,807.709712
-2021.587674,100,807.93007
-906.976028,7,807.950455
-1787.378532,100,808.144924
-2294.148384,100,808.349147
-1146.635749,12,818.784218
-917.35639,10,818.813761
-2902.928458,100,819.013621
-2509.848783,100,819.213604
-1566.033309,100,819.419159
-863.312358,3,819.435852
-1559.34176,100,819.711948
-1151.442685,100,819.991155
-94.922101,7,820.010774
-1091.095899,100,820.19782
-953.443654,10,831.174075
-3056.429492,100,831.357042
-3685.215491,100,831.55399
-1202.805678,17,831.585669
-1265.708365,100,831.799309
-1270.959317,100,831.980926
-892.170184,11,832.009648
-861.693439,3,832.029113
-988.617616,12,832.061451
-840.334996,3,832.079665
-460.079843,20,842.783961
-2431.818196,100,842.968461
-766.951588,5,842.993615
-1636.694307,100,843.183701
-1194.244452,16,843.227139
-2149.212782,100,843.402276
-917.88111,4,843.423738
-1442.865108,100,843.603895
