#{"t_start": 1693881991.4190536, "env_id": "UR5ObsReach-v1"}
r,l,t
-1062.669439,11,394.122208
-194.069902,8,394.147629
-64.356535,5,394.175592
-278.67289,7,394.191578
-914.911922,8,394.209606
-948.975863,11,394.234165
-212.395046,9,394.260923
-814.877948,8,405.603458
-1001.064434,8,405.637783
-58.792358,5,405.663908
-15.795847,6,405.684338
-981.860096,7,405.703863
-980.914654,10,405.749568
-841.156235,7,405.770372
17.387081,5,405.797661
-965.254583,11,405.82551
-1036.350203,10,405.85906
-933.341585,6,417.660684
-952.773624,8,417.685647
-301.593172,8,417.712424
-896.690769,8,417.732532
-1008.311323,12,417.79528
-934.523775,10,417.824725
-958.683933,8,417.854579
-810.521194,7,417.880384
-1000.998058,7,417.908456
-964.549254,11,417.942062
-951.305595,10,430.878121
-893.937018,10,430.910501
-959.837119,12,430.947753
-912.449185,10,430.978443
-874.491966,10,431.015199
-984.115352,10,431.047617
-845.872864,10,431.08068
-977.464426,10,431.113171
-906.649529,9,431.146097
-179.042217,6,431.170945
-958.236847,8,443.016975
-857.792425,8,443.033456
-164.586555,7,443.050004
-968.216475,10,443.071261
-896.937334,8,443.100584
-1057.862408,11,443.123105
-930.992662,11,443.156373
-899.894951,8,443.187404
-950.506696,10,443.22075
-947.971878,10,443.254473
-1020.264898,10,454.651287
-58.215309,5,454.671394
-961.1173,12,454.70134
-188.872259,5,454.722254
-964.415785,10,454.747354
-889.562281,7,454.775084
-889.664011,8,454.795493
-912.808767,9,454.830951
-95.851581,6,454.855504
-928.2495,11,454.887188
-967.455761,7,465.835451
-1015.501371,10,465.85873
-957.807871,8,465.887949
-956.47675,11,465.930753
-889.112939,10,465.956521
-849.726127,10,465.990032
-976.538936,10,466.028838
-140.499199,6,466.049635
-893.488037,7,466.067121
-921.851654,8,466.087549
-1051.937683,10,477.240846
-868.286989,10,477.273714
-955.905291,10,477.311205
-1021.786677,10,477.349697
-949.370273,9,477.391053
-951.085794,10,477.421538
-976.125232,10,477.457296
-897.679103,10,477.490659
-975.105957,10,477.523669
-145.268112,6,477.546586
-934.312529,10,489.930182
-1010.680698,11,489.964815
-38.616911,5,489.983695
-909.390264,11,490.011748
-1009.643055,11,490.045305
-104.350981,6,490.069006
-957.254532,10,490.093219
-961.489688,10,490.128775
-96.762403,8,490.157624
-900.916521,9,490.191914
-298.62855,9,501.567875
-187.884421,7,501.599776
-932.443197,10,501.638468
