#{"t_start": 1697154361.7071033, "env_id": "UR5DynReach-v1"}
r,l,t
-123.672332,10,61.696068
-717.85079,100,71.096523
-321.932347,27,71.151838
-297.438659,9,71.171181
-885.038588,100,71.358087
-812.661985,100,71.560098
-836.94988,100,71.773381
-126.668986,8,71.803289
0.051474,8,71.820523
-1282.9769,29,71.871282
-923.207781,100,72.053558
-123.667807,12,72.077569
-268.58532,12,72.110064
-887.498456,10,72.142443
-977.618301,100,72.369022
-178.749163,9,72.390305
-1014.503881,14,72.431745
-76.639113,8,72.453709
-855.210073,9,72.472493
-982.227263,100,72.653033
-131.651941,17,72.684593
-257.810418,8,72.702428
-23.820667,6,72.716115
-1097.655928,16,72.75035
-1295.459697,100,72.942679
-265.103345,11,72.981166
-1196.454754,100,73.187593
-812.000768,100,73.346842
-146.104876,8,73.370733
-16.589713,8,73.387144
-93.139897,10,73.407731
-1126.299653,100,73.589664
-152.450153,8,73.620465
-289.243472,27,73.668909
-1357.852549,100,73.842973
-188.513783,27,73.903024
-77.002187,7,73.919274
-176.887436,9,73.939126
-296.318371,29,73.987359
-162.952244,7,74.002968
-42.30732,7,74.019326
-835.886086,100,74.193404
-328.62391,11,74.22703
-69.781628,7,74.253105
-232.306525,26,74.300976
-80.282407,7,74.320957
-1008.135659,100,74.492237
-252.756721,8,74.521242
-147.744284,9,74.540148
-34.101967,7,74.569945
-74.467755,8,74.588757
-1100.377042,18,74.6214
-95.643449,8,74.638249
-1457.163734,100,74.81272
-1512.492453,100,74.995898
-2432.737951,100,75.179427
-197.02335,17,75.220744
-190.122367,8,75.238346
-71.916576,8,75.255381
-869.270146,100,75.429731
-207.578871,21,75.476601
-700.311005,100,75.653685
-359.622873,26,75.702607
-194.492224,12,75.729953
-1003.556806,15,75.768138
-237.200988,18,75.806692
-117.369446,20,75.844973
-62.026245,6,75.869803
-105.496869,8,75.889064
-159.106045,27,75.937736
-233.184454,8,75.956043
-100.924596,8,75.973126
-352.126201,27,76.019534
-53.055683,6,76.036409
-161.542639,17,76.071007
-1105.278849,100,76.245238
-1639.026763,100,76.430483
-75.537399,8,76.45644
-92.550625,8,76.473214
-135.392837,27,76.521874
-203.893272,22,76.562462
-148.998183,12,76.59694
-183.770458,16,76.636774
-175.347959,20,76.675731
-25.71406,7,76.704932
-194.849504,7,76.721842
-150.718332,10,76.742531
-271.380005,22,76.798832
-137.300021,10,76.831178
-207.517563,12,76.864131
-69.163068,7,76.888464
-34.616549,8,76.90716
-1813.26554,100,77.077605
-140.938599,7,77.105406
-192.321758,11,77.129223
-50.112159,6,77.154067
-839.599192,19,77.192398
-428.016623,28,77.256836
-205.281145,10,77.2765
-928.086171,100,77.475712
-858.846045,3,77.483549
-928.928237,100,86.22386
-146.597608,9,86.249408
-781.73518,100,86.417543
-1182.985418,100,86.602494
-44.121577,10,86.635699
-833.468324,100,86.83397
-248.99288,27,86.895637
-138.448887,7,86.913728
-337.148017,26,86.959138
-935.448592,100,87.128701
-134.599902,9,87.150203
-865.0456,100,87.310718
-1040.121159,100,87.47278
-113.921801,8,87.499375
-154.123303,8,87.515543
-43.952978,6,87.529376
-175.470031,27,87.577397
-118.340567,8,87.598975
-163.868402,12,87.623068
-217.666244,16,87.662823
-122.545447,7,87.68125
-49.655547,6,87.696384
-1157.467165,19,87.735034
-155.884149,10,87.771925
-93.771869,9,87.800908
-69.343208,8,87.817981
-1119.933193,11,87.838993
-146.220778,8,87.866162
-857.209819,100,88.033961
-184.938101,11,88.055513
-109.51924,8,88.085429
-1030.191853,100,88.282527
-55.963781,7,88.315824
-182.19308,13,88.365412
-159.992592,9,88.395606
-223.433394,8,88.417563
-169.621047,9,88.435557
-109.245077,8,88.466639
-169.125811,8,88.482806
-165.304782,23,88.525245
-280.990835,24,88.580365
-1590.299492,100,88.754302
-1278.172219,100,88.939663
-206.700724,27,89.000818
-135.474964,27,89.047017
-420.170251,28,89.098496
-114.761865,8,89.116409
-1297.730182,100,89.274611
-205.192001,11,89.3064
-259.436583,11,89.339751
-1161.082086,100,89.522061
-895.247814,100,89.696263
-23.329755,7,89.716174
-119.563288,9,89.736745
-36.944594,6,89.765292
-177.613779,28,89.822197
-107.670886,11,89.857122
-304.938033,19,89.902389
-1217.94621,100,90.063458
-266.796367,12,90.092079
-1093.14441,100,90.263474
-153.740161,10,90.289296
-63.830711,7,90.318584
-62.810757,7,90.333991
-895.428625,100,90.498727
-339.097246,15,90.530315
-258.826482,27,90.581478
-81.431593,7,90.601214
-109.294597,7,90.617173
-2932.710553,100,90.78958
-56.8703,6,90.817569
-856.38393,8,90.836353
-146.114979,8,90.852255
-235.625817,28,90.900348
-216.789384,10,90.923022
-140.033109,10,90.956253
-224.182316,20,91.004553
-1553.721988,100,91.187284
-134.113728,19,91.219908
-45.268603,9,91.237251
-192.289434,8,91.252533
-174.896784,11,91.274623
-1034.299351,7,91.301831
-239.070659,27,91.352334
-171.159591,9,91.370594
-179.094339,10,91.390124
-218.814735,8,91.419727
-47.893832,7,91.435302
-97.966334,8,91.45253
-237.650213,18,91.48608
-213.709974,20,91.525108
-159.884373,20,91.5737
-122.918105,19,91.620768
-191.759548,10,91.640312
-73.084456,7,91.668342
-180.097836,10,91.690059
-100.688375,8,91.7195
-232.653899,16,91.750488
-61.969321,14,91.780031
10.27321,6,91.80001
-1087.781315,100,100.925278
-1076.006617,100,101.091905
-216.709038,26,101.141652
-208.305214,9,101.162373
-131.487824,27,101.216478
-168.941774,12,101.251931
-78.115259,14,101.288098
-2.184881,6,101.30783
-214.703524,27,101.360062
-982.810258,100,101.531765
-88.815305,7,101.559913
-118.020925,7,101.577025
-143.296006,15,101.606727
-1537.980265,100,101.773365
-839.322797,100,101.93957
-61.423053,10,101.965378
-8.900399,7,101.994932
-1096.498846,5,102.009288
-255.465251,9,102.029811
-891.169216,100,102.193379
-136.638336,9,102.213916
-73.13581,7,102.227903
-1947.362438,100,102.389736
-694.918546,100,102.554194
-831.089002,100,102.726878
-296.528184,27,102.778473
-124.506953,10,102.799668
-1039.707026,10,102.834907
-1171.804441,100,103.006045
-1191.706583,100,103.184853
-105.516432,8,103.212349
-135.726734,6,103.226128
-174.55035,26,103.275762
-313.753866,27,103.327266
-114.941093,8,103.345899
-172.351982,13,103.371511
-160.998114,8,103.395798
-102.057392,10,103.416849
-89.724928,11,103.451679
-38.641686,8,103.47927
-83.471109,9,103.497521
-862.61446,11,103.519341
-288.30121,21,103.568575
-62.534526,6,103.593221
-312.305278,12,103.620039
-46.750315,7,103.64458
-980.590688,100,103.809967
-31.445415,8,103.830615
-249.854527,27,103.879635
-210.233565,27,103.926444
-936.42096,100,104.100816
-121.168589,7,104.128633
-32.441027,7,104.145328
-796.00595,100,104.321358
-75.6102,10,104.35091
-970.460437,100,104.5616
-24.253079,7,104.579712
-34.64184,6,104.594416
-227.869335,27,104.647383
-39.611591,8,104.664936
-831.802355,6,104.678695
