#{"t_start": 1695187051.7175174, "env_id": "UR5DynReach-v1"}
r,l,t
-878.823889,5,371.968486
-964.014273,5,371.985102
-1089.347342,6,372.004005
-800.944609,3,372.015927
-924.918708,3,372.031116
-896.35503,5,372.052028
-860.577498,5,372.069309
-828.071593,4,372.083978
-777.651922,3,382.339008
-847.436178,5,382.360624
-1068.779484,7,382.380828
-1083.398454,6,382.394531
-964.584573,5,382.409625
-867.876143,5,382.428199
-912.533684,5,382.442883
-917.430335,3,382.456155
-859.291996,6,382.479467
-826.411349,3,382.488846
-869.483939,5,392.666112
-977.56679,5,392.683868
-1003.649369,5,392.699993
-953.375845,5,392.715979
-926.632033,5,392.732975
-922.636526,3,392.746754
-1103.413973,5,392.766782
-813.325888,2,392.778539
-943.199037,6,392.805168
-1083.344698,6,392.82077
-908.367915,3,403.003928
-906.692321,5,403.024891
-905.414181,5,403.041235
-1115.265252,5,403.058532
-882.961747,5,403.074364
-853.932736,3,403.090023
-913.570711,3,403.103584
-998.544592,5,403.12465
-837.024091,2,403.13615
-862.803084,3,403.156507
-824.700936,5,413.399444
-991.413704,5,413.416533
-906.004834,4,413.430198
-852.034715,3,413.4458
-815.873029,3,413.461157
-1080.933795,5,413.482487
-821.428883,5,413.497839
-906.642947,3,413.512038
-932.355618,5,413.531176
-917.06286,5,413.548552
-1028.935622,7,423.827384
-920.707711,5,423.855367
-898.394489,4,423.86956
-910.850202,3,423.886335
-906.72604,5,423.906164
-925.050801,3,423.918101
-875.289154,3,423.935343
-911.671607,5,423.957329
-871.985225,3,423.968268
-859.624762,4,423.988246
-874.475145,4,433.927954
-889.140009,5,433.946556
-1045.338394,5,433.963064
-867.096225,3,433.975542
-970.597126,6,433.99921
-1029.990677,6,434.01561
-1096.227071,5,434.02973
-984.59399,3,434.042714
-835.959875,3,434.058903
-912.519931,3,434.07539
-923.208126,4,444.351776
-872.063616,5,444.370206
-927.954124,3,444.383174
-902.810632,5,444.403621
-770.735155,3,444.416433
-794.31361,3,444.433097
-865.84816,3,444.449069
-843.392024,3,444.466286
-936.715319,5,444.486843
-849.870624,3,444.499501
-860.052931,4,454.576093
-895.440446,4,454.591542
-811.028715,3,454.607403
-998.289972,5,454.62665
-884.070195,3,454.639634
-853.022604,5,454.659665
-858.863337,5,454.677218
-951.004122,5,454.69474
-884.69693,3,454.70689
-905.214722,5,454.728169
-867.029073,5,464.801216
-794.298009,3,464.81534
-1019.272915,5,464.834818
-963.402811,6,464.852861
-952.123788,3,464.864147
-1049.882662,6,464.886233
-1107.291906,5,464.901177
-1004.465279,5,464.918915
-840.233524,3,464.931054
-1011.216926,5,464.951895
-886.958845,3,474.972908
-732.9637,3,474.98741
-900.160925,4,475.005961
-928.067879,5,475.023684
-1007.138827,6,475.042994
-844.280074,5,475.058436
-935.578678,6,475.075987
-866.015645,4,475.090252
-819.681812,4,475.106717
-823.610529,3,475.121526
-866.745479,3,485.279849
-938.46684,4,485.297191
-975.692389,5,485.315595
-918.156158,3,485.328149
-871.115208,5,485.348766
-1013.281809,5,485.366462
-794.562841,3,485.379611
-915.132041,5,485.399138
-904.39314,5,485.415343
-989.122133,5,485.432551
-898.596021,3,495.70417
-883.053292,5,495.722994
-955.399482,5,495.739815
-827.195052,4,495.754855
-882.012391,3,495.768753
-864.332551,5,495.790446
-1186.544903,5,495.806526
-994.367951,5,495.823384
-847.575766,3,495.836467
-1151.084006,5,495.85621
-881.831673,5,505.862856
-1020.024311,3,505.877468
-713.545857,3,505.892924
-808.421182,3,505.91065
-855.446211,3,505.927042
-868.170633,5,505.947054
-906.875969,5,505.96314
-888.248878,5,505.980561
-962.635942,3,505.993979
-982.163596,5,506.013199
-875.706952,3,516.150411
-965.303348,5,516.170067
-872.545204,5,516.187194
-985.443518,5,516.203944
-886.587914,6,516.224648
-1012.305777,6,516.238852
-1098.98707,5,516.253532
-933.031145,5,516.269759
-928.366463,6,516.288672
-888.478221,3,516.299854
-1064.796841,5,526.332434
-918.501088,3,526.345243
-1114.729156,6,526.368488
-1073.264802,6,526.384424
-1100.501103,5,526.399321
-904.281182,3,526.412179
-923.581299,6,526.434355
-929.843466,5,526.450512
-830.780512,3,526.462114
-1016.555215,5,526.482217
-929.946438,4,536.710694
-946.335576,3,536.72596
-847.332424,3,536.742732
-1039.850862,6,536.765312
-1212.866872,5,536.780705
-837.633371,4,536.794191
-952.390865,7,536.816724
-882.639712,5,536.829784
-818.984397,3,536.842443
-886.858653,3,536.8605
-815.228431,3,546.921971
-778.095411,3,546.939008
-956.583127,5,546.959361
-1010.746644,7,546.979894
-837.702896,4,546.991211
-881.958488,6,547.011659
-849.040699,5,547.026028
-919.438676,6,547.045127
-876.593752,3,547.056616
-1140.747644,6,547.07866
-1084.842959,5,557.139928
-1108.944599,5,557.156924
-876.358013,3,557.168896
-945.460506,5,557.18917
-932.46628,5,557.204439
-979.154806,6,557.226167
-961.854032,5,557.239542
-904.376182,5,557.254963
-953.169473,6,557.273464
-963.893826,5,557.288545
-880.753659,5,567.451024
-862.987962,5,567.46849
-826.173685,3,567.480722
-898.354069,4,567.500984
-904.747136,5,567.518677
-1020.334484,4,567.533537
-846.772217,4,567.549523
-870.487321,3,567.5653
-983.915523,5,567.58514
-897.723699,5,567.605272
-930.812483,4,577.512859
-912.660205,6,577.532802
-995.970511,5,577.547996
-778.376804,3,577.55948
-936.843181,5,577.580071
-977.965633,6,577.599563
-892.46856,3,577.61042
-972.813537,5,577.630603
-926.188252,5,577.646311
-964.471945,6,577.665618
-875.881643,3,587.855831
-866.575034,5,587.876216
-846.883332,5,587.89248
-843.224588,3,587.905071
-864.076505,3,587.923688
-927.866926,5,587.942325
-949.944504,5,587.958863
-903.153684,3,587.972122
-1008.785772,5,587.992214
-1006.555078,5,588.008412
-959.180018,5,598.220576
-911.230038,5,598.236823
-862.906445,5,598.253696
-819.119027,3,598.267905
-906.553966,3,598.285072
-782.554235,3,598.301768
-852.74795,5,598.321069
-858.629284,5,598.337106
-881.702213,6,598.35792
-1144.570837,5,598.370307
-907.192952,5,608.48237
-1041.939129,6,608.500281
-839.096625,3,608.511337
-936.4903,5,608.53162
-1061.94705,5,608.549114
-926.343832,5,608.56499
-943.372866,5,608.581897
-941.660882,4,608.597235
-897.36253,3,608.611743
-1008.013937,5,608.632123
-1032.749945,5,618.761297
-1047.094196,5,618.777239
-911.908831,5,618.797539
-972.482308,6,618.817709
-1002.472106,3,618.840668
-798.966651,3,618.85825
-974.311864,5,618.880696
-990.285182,5,618.89751
-941.766637,3,618.908692
-875.390257,5,618.931614
-890.957103,3,628.96688
-910.593681,5,628.98684
-1055.384338,5,629.003391
-853.001275,5,629.021719
-987.371525,6,629.03759
-937.064374,5,629.053418
-928.436786,4,629.06889
-1150.350119,5,629.086634
-950.464724,6,629.10376
-784.804509,3,629.117391
-1043.121781,5,639.348688
-931.813596,5,639.365133
-958.948024,5,639.381655
-861.908184,3,639.395368
-1070.293886,5,639.415018
-1045.543104,5,639.431574
-839.794127,5,639.448398
-968.969522,5,639.465356
-1073.387896,5,639.481357
-943.916677,5,639.498866
-937.155264,3,649.655081
-917.062668,5,649.675042
-891.065598,5,649.691751
-820.637189,3,649.704851
-942.381975,5,649.72583
-858.986086,3,649.738327
-912.449829,3,649.756432
-988.028088,5,649.775777
-778.867014,3,649.788823
-987.945292,6,649.810668
-1162.082939,5,659.851926
-799.063457,3,659.865458
-818.289689,4,659.88303
-922.181162,5,659.901947
-958.477564,5,659.918651
-862.206849,3,659.931138
-883.373296,5,659.953116
-913.853129,3,659.965482
-806.102399,3,659.980847
-1023.064988,6,660.003337
-1135.18344,6,670.149041
-955.315479,5,670.162501
-920.541316,5,670.178227
-857.18684,5,670.195227
-848.944457,3,670.207739
-894.209898,3,670.224605
-872.174582,3,670.241413
-897.452138,3,670.257722
-815.743992,3,670.275755
-997.327795,6,670.297024
-839.161429,3,680.384883
-839.859996,3,680.400895
-838.281474,3,680.420132
-817.004876,5,680.439172
-936.463949,4,680.45389
-977.551162,5,680.472984
-864.038506,3,680.485844
-965.355487,5,680.506336
-793.700065,3,680.518616
-963.253687,5,680.538543
-853.171652,3,690.395524
-924.110453,5,690.414486
-924.849749,5,690.430852
-940.811995,3,690.444525
-853.71846,6,690.466147
-818.766672,3,690.477147
-812.519078,3,690.493852
-878.402979,5,690.513821
-1158.971519,7,690.538036
-854.165533,5,690.563995
-1019.220386,5,700.840823
-788.326499,3,700.853228
-946.173656,5,700.874295
-863.238054,5,700.892513
-936.897936,4,700.905797
-997.948589,5,700.924575
-977.35177,5,700.941287
-869.877595,5,700.960287
-1071.692872,5,700.973575
-871.612632,5,700.992131
-886.528901,5,711.049429
-1000.248403,5,711.067011
-796.760721,4,711.080824
-1088.340674,5,711.100368
-1056.105373,5,711.116677
-855.71426,3,711.130104
-863.34546,3,711.146254
-863.889114,5,711.166282
-801.136122,3,711.180785
-795.715955,4,711.199149
-870.846575,6,721.580083
-983.615512,5,721.592948
-991.861103,5,721.610093
-806.0553,4,721.623659
-743.272585,3,721.639063
-823.650031,4,721.657181
-887.183288,5,721.678176
-952.579033,5,721.693566
-746.636082,3,721.706133
-904.821405,3,721.72395
-839.892904,3,731.716591
-1018.655068,5,731.735257
-828.468891,3,731.748403
